,lon,lat,new_time,trip_id
5300,-80.249969987273,40.498372125477,2019-08-02 00:01:46-04:00,35
5047,-80.260215,40.52493,2019-08-01 12:18:28-04:00,24
5046,-80.25952,40.52513,2019-08-01 12:18:25-04:00,24
5045,-80.25883,40.525295,2019-08-01 12:18:22-04:00,24
5044,-80.258135,40.525385,2019-08-01 12:18:19-04:00,24
5043,-80.257445,40.525365,2019-08-01 12:18:16-04:00,24
5042,-80.256755,40.52531,2019-08-01 12:18:13-04:00,24
5039,-80.25465,40.52526,2019-08-01 12:18:04-04:00,24
5041,-80.256055,40.52525,2019-08-01 12:18:10-04:00,24
5040,-80.25535,40.52522,2019-08-01 12:18:07-04:00,24
5038,-80.25396,40.525365,2019-08-01 12:18:01-04:00,24
5037,-80.25326,40.52551,2019-08-01 12:17:58-04:00,24
5036,-80.252545,40.525665,2019-08-01 12:17:55-04:00,24
5049,-80.26204,40.52394,2019-08-01 12:18:37-04:00,24
5035,-80.25183,40.52581,2019-08-01 12:17:52-04:00,24
5048,-80.26088,40.52467,2019-08-01 12:18:31-04:00,24
5058,-80.26744,40.517535,2019-08-01 12:19:16-04:00,24
5050,-80.26252,40.523475,2019-08-01 12:18:40-04:00,24
5051,-80.263855,40.52196,2019-08-01 12:18:49-04:00,24
5052,-80.265355,40.52051,2019-08-01 12:18:58-04:00,24
5053,-80.265915,40.520055,2019-08-01 12:19:01-04:00,24
5054,-80.26642,40.51962,2019-08-01 12:19:04-04:00,24
5055,-80.26679,40.519165,2019-08-01 12:19:07-04:00,24
5056,-80.26706,40.51866,2019-08-01 12:19:10-04:00,24
5057,-80.267255,40.5181,2019-08-01 12:19:13-04:00,24
5059,-80.267625,40.516985,2019-08-01 12:19:19-04:00,24
5060,-80.267805,40.516465,2019-08-01 12:19:22-04:00,24
5061,-80.268135,40.515435,2019-08-01 12:19:29-04:00,24
5062,-80.268255,40.51505,2019-08-01 12:19:33-04:00,24
5063,-80.26856,40.514905,2019-08-01 12:19:40-04:00,24
5064,-80.268696164787,40.514725134746,2019-08-01 12:20:03-04:00,24
4926,-80.188831128255,40.532179316544,2019-08-01 12:09:51-04:00,24
5034,-80.25112,40.525965,2019-08-01 12:17:49-04:00,24
4925,-80.186123857349,40.534699796737,2019-08-01 12:09:30-04:00,24
5032,-80.24894,40.52644,2019-08-01 12:17:40-04:00,24
4952,-80.2018,40.54069,2019-08-01 12:11:24-04:00,24
4954,-80.203115,40.54195,2019-08-01 12:11:33-04:00,24
4955,-80.203725,40.542205,2019-08-01 12:11:36-04:00,24
4956,-80.204345,40.54241,2019-08-01 12:11:39-04:00,24
4957,-80.20495,40.542595,2019-08-01 12:11:42-04:00,24
4958,-80.20554,40.54277,2019-08-01 12:11:45-04:00,24
4959,-80.206715,40.54311,2019-08-01 12:11:51-04:00,24
4960,-80.207345,40.543195,2019-08-01 12:11:54-04:00,24
4961,-80.20799,40.54325,2019-08-01 12:11:57-04:00,24
4962,-80.208635,40.5433,2019-08-01 12:12:00-04:00,24
4963,-80.20928,40.54334,2019-08-01 12:12:03-04:00,24
4964,-80.209895,40.543365,2019-08-01 12:12:06-04:00,24
4965,-80.2105,40.54337,2019-08-01 12:12:09-04:00,24
4966,-80.21113,40.543375,2019-08-01 12:12:12-04:00,24
4967,-80.21176,40.54337,2019-08-01 12:12:15-04:00,24
4968,-80.2124,40.54338,2019-08-01 12:12:18-04:00,24
4969,-80.213055,40.543395,2019-08-01 12:12:21-04:00,24
4970,-80.21369,40.543405,2019-08-01 12:12:24-04:00,24
4971,-80.214325,40.543415,2019-08-01 12:12:27-04:00,24
4972,-80.215505,40.54344,2019-08-01 12:12:33-04:00,24
4973,-80.21604,40.5434,2019-08-01 12:12:36-04:00,24
4974,-80.21662,40.54329,2019-08-01 12:12:40-04:00,24
4975,-80.21697,40.54322,2019-08-01 12:12:43-04:00,24
4976,-80.217345,40.54316,2019-08-01 12:12:47-04:00,24
4953,-80.20214,40.54117,2019-08-01 12:11:27-04:00,24
4951,-80.20149,40.540185,2019-08-01 12:11:21-04:00,24
4978,-80.217575,40.54311,2019-08-01 12:13:30-04:00,24
4950,-80.20118,40.53968,2019-08-01 12:11:18-04:00,24
4927,-80.189115,40.53182,2019-08-01 12:09:54-04:00,24
4928,-80.189435,40.531535,2019-08-01 12:09:57-04:00,24
4929,-80.18978,40.531235,2019-08-01 12:10:02-04:00,24
4930,-80.18998,40.531135,2019-08-01 12:10:06-04:00,24
4931,-80.190225,40.53122,2019-08-01 12:10:09-04:00,24
4932,-80.19051,40.531425,2019-08-01 12:10:12-04:00,24
4933,-80.190865,40.5317,2019-08-01 12:10:15-04:00,24
4934,-80.19126,40.53203,2019-08-01 12:10:18-04:00,24
4935,-80.19167,40.53243,2019-08-01 12:10:21-04:00,24
4936,-80.192115,40.53288,2019-08-01 12:10:24-04:00,24
4937,-80.193045,40.533865,2019-08-01 12:10:30-04:00,24
4938,-80.19351,40.53439,2019-08-01 12:10:33-04:00,24
4939,-80.193935,40.534895,2019-08-01 12:10:36-04:00,24
4940,-80.194655,40.535845,2019-08-01 12:10:42-04:00,24
4941,-80.19505,40.53631,2019-08-01 12:10:45-04:00,24
4942,-80.196125,40.537105,2019-08-01 12:10:51-04:00,24
4943,-80.196785,40.5374,2019-08-01 12:10:54-04:00,24
4944,-80.197485,40.537645,2019-08-01 12:10:57-04:00,24
4945,-80.19887,40.537995,2019-08-01 12:11:03-04:00,24
4946,-80.199495,40.538145,2019-08-01 12:11:06-04:00,24
4947,-80.200055,40.53841,2019-08-01 12:11:09-04:00,24
4948,-80.200535,40.53877,2019-08-01 12:11:12-04:00,24
4949,-80.200875,40.5392,2019-08-01 12:11:15-04:00,24
4977,-80.217739977017,40.543087148145,2019-08-01 12:13:29-04:00,24
4979,-80.21768,40.54305,2019-08-01 12:13:35-04:00,24
5031,-80.248205,40.526605,2019-08-01 12:17:37-04:00,24
